Title,Chris' Resolutions,Chris' Framerates,Chris' Pro Features,Chris' SEFs,Chris' Crossplay Box,ID,Not Tested,Chris' Support
Submerged: Hidden Depths,1920x1080,60FPS,4K Mode | HDR | 5.1,None,None,3c39a33bbc064308941f9276c38c30e7rcp1,,https://www.uppercut-games.com/support
Sundered,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,5ec4424b963f44d18d0016322c19c9f0rcp1,,https://thunderlotusgames.com/support-request/
SUPER BOMBERMAN R ONLINE,2560x1440,60FPS,4K Mode | 5.1,Crowd Play,PC | PlayStation | Xbox | Nintendo Switch,2847419bbb5146ed877a308d9884f504rcp1,,https://us-support.konami.com/s/contactsupport
SUPERHOT,3840x2160,60FPS,4K Mode,None,None,f7afcff709e74227a5648aacadf03815rcp1,,superhot@superhotgame.com
Superhot: Mind Control Delete,3840x2160,60FPS,4K Mode,None,None,382fe14629e148449e7b8f94e8aecb38rcp1,,superhot@superhotgame.com
Terraria,Pixel Art/Retro,60FPS,4K Mode,None,None,774b82b8c1194dc2acc13a268c4ea7c7rcp1,,https://support.505games.com/hc/en-us/requests/new
The Crew 2,1920x1080,30FPS | 30FPS in 1080p Mode,4K Mode | 5.1,Stream Connect,None,cc97434908874852a6705d255a605dc8rcp1,,https://www.ubisoft.com/en-us/help/contact
The Darkside Detective,Pixel Art/Retro,60FPS,4K Mode,None,None,b465998ccc1c48aaa2fb74f331ebbdd7rcp1,,https://www.akuparagames.com/contact-us/
The Darkside Detective: A Fumble in the Dark,Pixel Art/Retro,60FPS,4K Mode,None,None,4e9c4e089aa5410cbffb3c1869d68925rcp1,,https://www.akuparagames.com/contact-us/
The Elder Scrolls Online,3840x2160,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,PC,b17f16d4a4f94c0a85e07f54dbdedbb6rcp1,,https://help.bethesda.net/#en/home
The Gardens Between,3840x2160,60FPS,4K Mode | 5.1,None,None,cf65dc95d523465493d6fbc482452227rcp1,,support@thevoxelagents.com
The Legend of Heroes: Trails of Cold Steel III,3840x2160,60FPS,4K Mode,None,None,5de3aed0b1b4439887e1cb4458f9cec8rcp1,,http://www.reactor-games.com/contact.html
The Legend of Heroes: Trails of Cold Steel IV,,,,None,None,95d975e630f5443ca402b5d67c31323drcp1,checked,http://www.reactor-games.com/contact.html
The Turing Test,3200x1800,60FPS,4K Mode | HDR | 5.1,None,None,cfd2977e1b9f412387ca2f44848400acrcp1,,
Thumper,3840x2160,60FPS,4K Mode,None,None,c121d8b3fa744b52b71bf3599cb3da7frcp1,,drool@drool.ws
TOHU,Unsure,60FPS,4K Mode,None,None,df0f55ed73d946b8a70398fea9805e2drcp1,,contact@fireart.games
Tom Clancy's Ghost Recon Breakpoint,3840x2160,30FPS | 60FPS in 1080p Mode,4K Mode | HDR | 5.1,Stream Connect,None,11c9ece5b3a045908d77cf2b66adb010rcp1,,https://www.ubisoft.com/en-us/help/contact
Tom Clancy's Ghost Recon Wildlands,3200x1800,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,a1ce1274a83244f1a099bebef7ae1233rcp1,,https://www.ubisoft.com/en-us/help/contact
The Division 2,3840x2160,60FPS,4K Mode | HDR | 5.1,Stream Connect,PC,d43cd46c81734ca48e1a615310d0237crcp1,,https://www.ubisoft.com/en-us/help/contact
Tomb Raider,3456x1944,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,42503ac2cfcf40018c15c86b86a5508drcp1,,https://support.eu.square-enix.com/contact.php
Trials Rising,3840x2160,60FPS,4K Mode | 5.1,None,None,a031419410cc48469ff8954ea0732640rcp1,,https://www.ubisoft.com/en-us/help/contact
Trine 4: The Nightmare Prince,2304x1296,60FPS,4K Mode,None,None,30fd580936bb43b782ec2dbdac8b2f45rcp1,,https://www.trine4.com/#contact
UNO,3840x2160,60FPS,4K Mode,None,None,1694aaa3968344228424092f180a3e0ercp1,,https://www.ubisoft.com/en-us/help/contact
Unto The End,3840x2160,60FPS,4K Mode,None,None,a089691b36254f77bc66a75052fc7cf6rcp1,,https://bigsugar.games/contact/
Valkyria Chronicles 4,1920x1080,60FPS,4K Mode | HDR | 5.1,None,None,b00e2f20b91e43c8a0597b07fc80ca84rcp1,,https://support.sega.com/hc/en-gb/requests/new
Watch_Dogs,3840x2160,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,b7503867ccbc4ac7be7093fe3ba1523crcp1,,https://www.ubisoft.com/en-us/help/contact
Watch_Dogs 2,Unsure,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,e6005e58d6d3458abd01bcf68e264ccercp1,,https://www.ubisoft.com/en-us/help/contact
Watch Dogs: Legion,2304x1296,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,deb490c166544813bf2ab73f4c6e2aa0rcp1,,https://www.ubisoft.com/en-us/help/contact
Wave Break,Unsure,30FPS | 60FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,3e7b24085e704c10ab03f93a19947c14rcp1,,http://discord.gg/funktroniclabs
Welcome to Elk,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,,None,None,9fb7a46ff38a4c1d842e9ddd35b24d00rcp1,,Astrid@tripletopping.com
West of Loathing,3840x2160,60FPS,4K Mode,None,None,0a60fff637b445a797623d0c69433a9crcp1,,
Windbound,3840x2160,60FPS,4K Mode | HDR | 5.1,None,None,657210fe20ad402b85bda8f816b80d98rcp1,,https://helpcenter.kochmedia.com/en/games/WBND
Wolfenstein: Youngblood,2560x1440,60FPS,4K Mode | 5.1,None,None,4884bd9bd7864cf28deef05ef4b69e70rcp1,,https://help.bethesda.net/#en/home
WWE 2K Battlegrounds,2560x1440,60FPS,4K Mode | 5.1,None,PC | Xbox | PlayStation | Nintendo Switch | No Cross-platform Buddy System,f28e66bbd0984c77ac6a54e8cc3007bdrcp1,,https://support.2k.com/hc/en-us/requests/new
Ys IX: Monstrum Nox,1920x1080,60FPS,4K Mode,None,None,b2c9b37fb3eb4089ad91f30b4e30ce92rcp1,,
Ys VIII: Lacrimosa of DANA,3840x2160,60FPS,4K Mode,None,None,7ced0b517b144dd98529ceffab963791rcp1,,
Zombie Army 4: Dead War,2560x1440,60FPS,4K Mode | HDR | 5.1,None,None,cba537cccfe3470b8784f88660ea5f09rcp1,,https://support.rebellion.com/hc/en-gb/requests/new
GRIME,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,HDR | 5.1,None,None,d7a58e7a34c843bc91106ef9be366b32rcp1,,https://www.akuparagames.com/contact-us/
Tom Clancy's Rainbow Six Siege,3840x2160,60FPS,4K Mode | 5.1,None,PC | No Cross-platform Buddy System,ab3353cfcd1f4a938e40b0ba32c72b64rcp1,,https://www.ubisoft.com/en-us/help/contact
RAINBOW SIX: EXTRACTION,,,,None,,e219615d926c4e6e92fae3b567fac94ercp1,checked,https://www.ubisoft.com/en-us/help/contact
Riders Republic,,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,PC | PlayStation | Xbox,a173ab7957e243d5a2a5668c6edd94b6rcp1,checked,https://www.ubisoft.com/en-us/help/contact
Just Dance 2022,,,,None,,c3ca0eaae154485aa56f0520cd895e4ercp1,checked,https://www.ubisoft.com/en-us/help/contact
Hello Engineer,2560x1440,60FPS,4K Mode | HDR | 5.1,State Share,None,e85d550899de407e996a8a2d9dfbc7efrcp1,,https://tinybuildgames.zendesk.com/hc/en-us/categories/360004817191-Hello-Neighbor
Life is Strange Remastered,3840x2160,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,09011184da8446c1b6fafb8c010888bfrcp1,,https://support.eu.square-enix.com/contact.php
Life is Strange: Before the Storm Remastered,3840x2160,30/60FPS Toggle,4K Mode | 5.1,None,None,e8eaa376059b43d5a3007c13589e8a1drcp1,,https://support.eu.square-enix.com/contact.php
Moonlighter,Pixel Art/Retro,60FPS,4K Mode | 5.1,None,None,703fbd4ee94441299adeaace6446f27arcp1,,info@11bitstudios.com
Bloodstained: Ritual of the Night,1920x1080,60FPS,4K Mode,None,None,df3c9859e1d14300941f62a693d140e2rcp1,,https://support.505games.com/hc/en-us/requests/new
Streets of Rage 4,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,,None,None,819f567cf2c64e5fb252c415a1184e53rcp1,,https://discord.gg/vpsEkg6
Threta Revelations,,,,None,,#ERROR!,checked,
Control,2560x1440,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,2cdcb63bc3604360a157c4a4021eca35rcp1,,https://support.505games.com/hc/en-us/requests/new
Merek's Market,3840x2160,60FPS,4K Mode | HDR | 5.1,None,None,1509dbd662b7403f9497661157b9ca6brcp1,,dave@bigvillagegames.com
ONE PIECE World Seeker,,,5.1,None,None,d7fce541196f4ec8b1bf36eef8b6f543rcp1,checked,https://support.bandainamcoent.com/hc/en-us/requests/new
DreamWorks Dragons: Dawn of New Riders,3840x2160,60FPS,4K Mode,None,None,e15d4480e6e44c64b8fe79b3bfc57c9ercp1,,https://outrightgames.com/contact/
Ice Age: Scrat's Nutty Adventure,3840x2160,30FPS | 30FPS in 1080p Mode,4K Mode,None,None,28c8c1c35b8c450083c980f1dd44b64drcp1,,https://outrightgames.com/contact/
Gigantosaurus The Game,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,106e912318b24f0394850cdeabf73b0arcp1,,https://outrightgames.com/contact/
PAW Patrol Mighty Pups Save Adventure Bay,3840x2160,60FPS,4K Mode,None,None,ccf9e5615864445ba6a85cbd3557665frcp1,,https://outrightgames.com/contact/
PAW Patrol The Movie: Adventure City Calls,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,2e00fb54c35e47b08e3d56e0d59cb2ffrcp1,,https://outrightgames.com/contact/
Young Souls,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,5.1,None,None,39b2419557a4479792c267dffa77fbbfrcp1,,https://www.dotemu.com/contact/
Madden NFL 22,,,5.1,None,None,451f31e0ce9e4ac4b928f4f6a9d2b3d0rcp1,checked,https://help.ea.com/en/contact-us/?product=madden-nfl-22&platform=stadia
Farming Simulator 22,3200x1800,60FPS,4K Mode | HDR | 5.1,None,PC,3bb062e7f1274d4ca83af6b5f67d9abarcp1,,https://feedback.giants-software.com/
Darkwood,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,848cb37ae8f64d4cbeddc5f2e290806ercp1,,https://forums.acidwizardstudio.com/viewforum.php?f=13
Katamari Damacy REROLL,3840x2160,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,26f5878eb1ac46458bd275469f7a83fdrcp1,,https://support.bandainamcoent.com/hc/en-us/requests/new
Darksiders II,3840x2160,30FPS | 30FPS in 1080p Mode,4K Mode | 5.1,None,None,694bb88862a84a4d86ef09c447094763rcp1,,https://www.thqnordic.com/company/contact
ARK: Survival Evolved,1920x1080,30FPS | 30FPS in 1080p Mode,4K Mode,None,PC,805de0d15b8b4beea63e282aa6f7e8fercp1,,https://docs.google.com/forms/d/e/1FAIpQLScHdhW5AishZ3o9qUXSJD15CJgzCvBqpN32p77B5VGhAeFQ1A/viewform
Fast & Furious: Spy Racers Rise of SH1FT3R,,,,None,None,b7e0896baf5d4a0b83a008aa6f277b53rcp1,checked,https://outrightgames.com/contact/
PJ Masks: Heroes of the Night,,,,None,None,7eb71ccf6f374859909aacc5afb8264arcp1,checked,https://outrightgames.com/contact/
The Addams Family: Mansion Mayhem,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,06a1ece9dfdd42f3871af2735d688a34rcp1,,https://outrightgames.com/contact/
My Friend Peppa Pig,1920x1080,60FPS in 1080p Mode,None,None,None,5e294a10f1d848c78ac205218b68e469rcp1,,https://outrightgames.com/contact/
Darksiders III,3840x2160,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,d05ef34140f34f5e91f7c2ea9e58b135rcp1,,https://www.thqnordic.com/company/contact
Assassin's Creed Black Flag,2560x1440,60FPS,4K Mode | 5.1,None,None,ba56dcf3117a4a3a8323f49341f454a4rcp1,,https://www.ubisoft.com/en-us/help/contact
From Space,Unsure,60FPS,4K Mode | 5.1,None,None,5cfd984e8a9f4ad2b93662db5f645ac7rcp1,,info@triangle-studios.com
Chorus,3840x2160,30/60FPS Toggle | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,fd6fc2b44158435497f23450fa656dcdrcp1,,https://playersupport.kochmedia.com/hc/en-us/requests/new
FIFA 22,3840x2160,60FPS,4K Mode | HDR | 5.1,None,None,d45d390acba5479db7c47170b09d517drcp1,,https://help.ea.com/en/contact-us/?product=fifa-22&platform=stadia
DreamWorks Spirit Lucky's Big Adventure,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,25567bfb599a46ecab0fc8b18682b3f8rcp1,,https://outrightgames.com/contact/
Mafia III,1920x1080 | Not Compatible With 4K Mode,30FPS in 1080p Mode,HDR | 5.1,None,None,9092c5ed87224f3e8a277dac0479874frcp1,,https://support.2k.com/hc/en-us/requests/new
The Falconeer,3840x2160,60FPS,4K Mode | 5.1,None,None,b7be5151de924478ab54ef9afeee4826rcp1,,support@wiredproductions.com
Assassin's Creed Rogue Remastered,2880x1620,60FPS,4K Mode | 5.1,None,None,1aca0f17682540698822de0419062511rcp1,,https://www.ubisoft.com/en-us/help/contact
Child of Light,3840x2160,60FPS,4K Mode,None,None,0301058e2733436484091e5ca27c2298rcp1,,https://www.ubisoft.com/en-us/help/contact
Heist Simulator Early Access,,,,None,None,513df9a0ecfd40199e077fc3bb9647f5rcp1,checked,https://discord.gg/heistsimulator
Ben 10: Power Trip,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,None,None,None,35cbf2108a6c4f1a982076cd41252112rcp1,,https://outrightgames.com/contact/
DRAGON BALL Z: KAKAROT,3840x2160,,4K Mode,None,None,8275f275454340d78fb746ba97b6b8earcp1,checked,https://support.bandainamcoent.com/hc/en-us/requests/new
Saints Row IV: Re-Elected,1920x1080 | Not Compatible With 4K Mode,60FPS in 1080p Mode,5.1,,None,5325f670b13d4c959123c437948d1834rcp1,,https://helpcenter.kochmedia.com/en/games/SRIVRE
Wavetale,1920x1080,60FPS,4K Mode,,None,68297438f4ca40828f91b31db3ce746ercp1,,https://thunderfulgames.com/contact/
The Jackbox Party Pack 8,1920x1080 | Not Compatible With 4K Mode,30FPS in 1080p Mode,5.1,Direct Touch,None,5553fb6e89514ca48891044b8e0ef47frcp1,,https://jackboxgames.happyfox.com/new/
Rayman Legends,3840x2160,60FPS,4K Mode,None,None,14b4e92868c9412ca7fd4ea88d733b2arcp1,,https://www.ubisoft.com/en-us/help/contact
Wreckfest,3840x2160,45FPS | 60FPS in 1080p Mode,4K Mode | 5.1,None,None,586beac11cb345289d46125b859396farcp1,,https://www.thqnordic.com/company/contact
TRANSFORMERS: BATTLEGROUNDS ,1920x1080 | Not Compatible With 4K Mode,30FPS in 1080p Mode,None,None,None,6ae8f01d51f04274aaec6b7e1180d62arcp1,,https://outrightgames.com/contact/
Hunting Simulator 2,3840x2160,30FPS | 30FPS in 1080p Mode,4K Mode | HDR | 5.1,None,None,51fb212122da4f78ab3afc79dff66dd3rcp1,,https://www.neopica.com/
Blaze and the Monster Machines: Axle City Racers,,,,None,None,1af0dac45ab84f4aafe61fb42c0a8badrcp1,checked,https://outrightgames.com/contact/
Chicken Police - Paint it RED!,,,,None,None,7482e6a205f840d2a31ee967dfdc8f73rcp1,checked,https://handy-games.com/en/contact/
The Jackbox Party Pack 7,,,,Direct Touch,None,155df2871ce84e26839216542747b1fbrcp1,checked,https://jackboxgames.happyfox.com/new/
Nine To Five Early Access,2560x1440,60FPS,4K Mode | 5.1,None,PC,40655663a955472ebd69d2a6ca93b995rcp1,,https://support.ninetofive.game/hc/en-us/requests/new
Super Animal Royale,1920x1080,60FPS,4K Mode,None,PC | Xbox | PlayStation | Nintendo Switch,1170cdbc5a234580aeb5a8cc52a37fccrcp1,,https://modusgames.com/support/
Assassin's Creed Liberation HD,,,,None,None,f0cac2d2f8a244f893c4567bb9e5af81rcp1,checked,https://www.ubisoft.com/en-us/help/contact
Assassin's Creed III Remastered,1920x1080,60FPS,4K Mode | HDR | 5.1,None,None,be5c488f89db474bb5b42e54dab1fe5drcp1,,https://www.ubisoft.com/en-us/help/contact
MONOPOLY Madness,,,,None,None,21ff68b166e1400c876b57c1276e921drcp1,checked,https://www.ubisoft.com/en-us/help/contact
The Jackbox Party Pack 6,,,,Direct Touch,None,a107146e18db4da4b3781d8b75781f88rcp1,checked,https://jackboxgames.happyfox.com/new/
Trollhunters: Defenders of Arcadia,,,,None,None,41ddc764b6f842cfa57ade28ccc56483rcp1,checked,https://outrightgames.com/contact/
MotoGP 21,,,,None,None,bd9890f0ca304e6e8d329ae133199793rcp1,checked,https://milestone.it/contact/
